"STATE"	"VERBAL"	"MATH"	"PERCENT"
"1"	"ala"	561	555	9
"3"	"ariz"	524	525	34
"4"	"ark"	563	556	6
"5"	"calif"	497	514	49
"6"	"colo"	536	540	32
"7"	"conn"	510	509	80
"8"	"dela"	503	497	67
"9"	"d.c."	494	478	77
"10"	"fla"	499	498	53
"11"	"ga"	487	482	63
"13"	"idaho"	542	540	16
"14"	"ill"	569	585	12
"15"	"ind"	496	498	60
"16"	"iowa"	594	598	5
"17"	"kan"	578	576	9
"18"	"ky"	547	547	12
"19"	"la"	561	558	8
"20"	"maine"	507	503	68
"21"	"md"	507	507	65
"22"	"mass"	511	511	78
"23"	"mich"	557	565	11
"24"	"minn"	586	598	9
"25"	"miss"	563	548	4
"26"	"mo"	572	572	8
"27"	"mont"	545	546	21
"28"	"neb"	568	571	8
"29"	"nev"	512	517	34
"30"	"nh"	520	518	72
"31"	"nj"	498	510	80
"32"	"nm"	549	542	12
"33"	"ny"	495	502	76
"34"	"nc"	493	493	61
"35"	"nd"	594	605	5
"36"	"ohio"	534	538	25
"37"	"okla"	567	560	8
"38"	"ore"	525	525	53
"39"	"pa"	498	495	70
"40"	"ri"	504	499	70
"41"	"sc"	479	475	61
"42"	"sd"	585	588	4
"43"	"tenn"	559	553	13
"44"	"texas"	494	499	50
"45"	"utah"	570	568	5
"46"	"vt"	514	506	70
"47"	"va"	508	499	65
"48"	"wash"	525	526	52
"49"	"wva"	527	512	18
"50"	"wis"	584	595	7
"51"	"wyo"	546	551	10
